type,complexity,question,answer
temporal_single,single-hop,How many movies did Orral Humphrey act in 1927?,"Orral Humphrey appeared in 1 movie(s) in 1927:
1. Broadway Madness"
temporal_single,single-hop,How many movies did Eva May act in 1921?,"Eva May appeared in 2 movie(s) in 1921:
1. Junge Mama
2. Die Amazone"
temporal_single,single-hop,How many movies did Lissi Lind act in 1920?,"Lissi Lind appeared in 7 movie(s) in 1920:
1. Tänzerin Tod
2. Die Frau in den Wolken
3. Im Banne der Suggestion
4. Mord... die Tragödie des Hauses Garrick
5. Das schleichende Gift
6. Sinnesrausch
7. Between Night and Dawn"
temporal_single,single-hop,How many movies did Robert Dunbar act in 1957?,"Robert Dunbar appeared in 4 movie(s) in 1957:
1. Suspended Alibi
2. Suspended Alibi
3. Second Fiddle
4. Second Fiddle"
temporal_single,single-hop,How many movies did Carolyn Irwin act in 1925?,"Carolyn Irwin appeared in 2 movie(s) in 1925:
1. Are Parents People?
2. Peacock Feathers"
temporal_single,single-hop,How many movies did Nola Luxford act in 1920?,"Nola Luxford appeared in 1 movie(s) in 1920:
1. The Tiger's Coat"
temporal_single,single-hop,How many movies did Hugo Froelich act in 1933?,"Hugo Froelich appeared in 1 movie(s) in 1933:
1. Der Choral von Leuthen"
temporal_single,single-hop,How many movies did E. Vivian Reynolds act in 1934?,"E. Vivian Reynolds appeared in 1 movie(s) in 1934:
1. The Girl Thief"
temporal_single,single-hop,How many movies did Thornton Edwards act in 1947?,"Thornton Edwards appeared in 1 movie(s) in 1947:
1. Robin Hood of Monterey"
temporal_single,single-hop,How many movies did Rhea Haines act in 1920?,"Rhea Haines appeared in 5 movie(s) in 1920:
1. Always Audacious
2. Mary Ellen Comes to Town
3. A Master Stroke
4. Smiling All the Way
5. Girls Don't Gamble"
temporal_single,single-hop,How many movies did Charles Brabin direct in 1934?,"Charles Brabin directed 1 movie(s) in 1934:
1. A Wicked Woman"
temporal_single,single-hop,How many movies did Bernard Randall act in 1923?,"Bernard Randall appeared in 2 movie(s) in 1923:
1. The French Doll
2. Ponjola"
temporal_single,single-hop,How many movies did Luis Ross act in 1921?,"Luis Ross appeared in 2 movie(s) in 1921:
1. Alas abiertas
2. La parcela"
temporal_single,single-hop,How many movies did Edmund Breese act in 1933?,"Edmund Breese appeared in 6 movie(s) in 1933:
1. Duck Soup
2. Fighting with Kit Carson
3. Ladies Must Love
4. A Man of Sentiment
5. Above the Clouds
6. On Your Guard"
temporal_single,single-hop,How many movies did Warren Chandler act in 1920?,"Warren Chandler appeared in 4 movie(s) in 1920:
1. My Husband's Other Wife
2. Empty Arms
3. The Forbidden Valley
4. Man and His Woman"
temporal_single,single-hop,How many movies did Jack Curtis act in 1926?,"Jack Curtis appeared in 5 movie(s) in 1926:
1. Hearts and Fists
2. The Texas Streak
3. The Lucky Fool
4. Through Thick and Thin
5. The Gypsy Romance"
temporal_single,single-hop,How many movies did Luigi Romano Borgnetto direct in 1920?,"Luigi Romano Borgnetto directed 4 movie(s) in 1920:
1. Maciste contro la morte
2. In terra sarda
3. L'uomo che vide la morte
4. La farina del diavolo"
temporal_single,single-hop,How many movies did Vincente Howard act in 1927?,"Vincente Howard appeared in 1 movie(s) in 1927:
1. The Isle of Sunken Gold"
temporal_single,single-hop,How many movies did Hanna Lierke act in 1924?,"Hanna Lierke appeared in 1 movie(s) in 1924:
1. Die Tragödie einer Liebesnacht"
temporal_single,single-hop,How many movies did Pardoe Woodman act in 1921?,"Pardoe Woodman appeared in 4 movie(s) in 1921:
1. The Mystery Road
2. A Gentleman of France
3. The Place of Honour
4. The Mystery of Mr. Bernard Brown"
temporal_single,single-hop,How many movies did Ernesto Vollrath direct in 1921?,"Ernesto Vollrath directed 3 movie(s) in 1921:
1. Carmen
2. Amnesia
3. La parcela"
temporal_single,single-hop,How many movies did Roy Laidlaw act in 1927?,"Roy Laidlaw appeared in 3 movie(s) in 1927:
1. God's Great Wilderness
2. Not for Publication
3. Cactus Trails"
temporal_single,single-hop,How many movies did Henry MacRae direct in 1923?,"Henry MacRae directed 3 movie(s) in 1923:
1. Miss Suwanna of Siam
2. Miss Suwanna of Siam
3. The Critical Age"
temporal_single,single-hop,How many movies did Harry Benham act in 1921?,"Harry Benham appeared in 1 movie(s) in 1921:
1. Hush Money"
temporal_single,single-hop,How many movies did Patrick Sylvester McGeeney direct in 1923?,"Patrick Sylvester McGeeney directed 1 movie(s) in 1923:
1. The Germ"
temporal_single,single-hop,How many movies did Emmy Wyda act in 1928?,"Emmy Wyda appeared in 3 movie(s) in 1928:
1. Das Girl von der Revue
2. Wasted Love
3. Polnische Wirtschaft"
temporal_single,single-hop,How many movies did Carl Wilhelm direct in 1922?,"Carl Wilhelm directed 5 movie(s) in 1922:
1. Lumpaci the Vagabond
2. Lumpaci the Vagabond
3. Lumpaci the Vagabond
4. Menschenopfer
5. Menschenopfer"
temporal_single,single-hop,How many movies did Minnie Devereaux act in 1920?,"Minnie Devereaux appeared in 2 movie(s) in 1920:
1. Food for Scandal
2. Up in Mary's Attic"
temporal_single,single-hop,How many movies did Herbert Blaché direct in 1921?,"Herbert Blaché directed 1 movie(s) in 1921:
1. Out of the Chorus"
temporal_single,single-hop,How many movies did Käthe Haack act in 1947?,"Käthe Haack appeared in 1 movie(s) in 1947:
1. Und finden dereinst wir uns wieder"
temporal_single,single-hop,How many movies did Paul Bildt act in 1936?,"Paul Bildt appeared in 6 movie(s) in 1936:
1. Geheimnis eines alten Hauses
2. Glückskinder
3. Glückskinder
4. Donogoo Tonka
5. Der Weg nach Shanghai
6. Annemarie. Die Geschichte einer jungen Liebe"
temporal_single,single-hop,How many movies did José Buchs direct in 1937?,"José Buchs directed 1 movie(s) in 1937:
1. Madre Alegría"
temporal_single,single-hop,How many movies did Alberto Capozzi act in 1941?,"Alberto Capozzi appeared in 2 movie(s) in 1941:
1. Marco Visconti
2. Turbine"
temporal_single,single-hop,How many movies did Henny Porten act in 1928?,"Henny Porten appeared in 7 movie(s) in 1928:
1. Love in Kuhstall
2. Love in Kuhstall
3. Liebe und Diebe
4. Liebe und Diebe
5. Lotte
6. Lotte
7. Refuge"
